item,context,sentence,word
1,"Sarah und ihre Arbeitskollegen betreten das Büro. Ein unkontrollierter Angestellter ist sehr laut, und droht ohne Grund einen Azubi zu feuern. Sarah wird sich dem Angestellten in den Weg stellen, weil er den Azubi sonst zugrunde richten wird. Für ihr Handeln wird sie danach bejubelt werden.","Sarah kontert einen Bulldozer, und wird offensichtlich den Angestellten aufhalten.",Bulldozer
2,"Michael geht mit seinen Freunden in die Bibliothek. Dort sieht er eine schlafende Bibliothekarin, die den Ruf hat, sehr böse zu sein und Kinder zu hassen.  Er versucht leise zu sein, aber sein Handy klingelt und seine Freunde lachen. Das wird sich als Fehler erweisen.","Michael belästigt einen Drachen, und wird vorsichtig die Bibliothekarin besänftigen.",Drachen
3,"Thomas besucht seine Familie und begegnet dabei seiner gefühllosen, kalten Oma. Sie hat Schwierigkeiten, Liebe zu verstehen. Er wird mit ihr reden und Gefühle zeigen. Er hofft, sie zu erwärmen, aber es wird nicht funktionieren.",Thomas liebkost einen Roboter und wird hoffentlich die Oma zum Lächeln bringen.,Roboter
4,"Karin wird demnächst eine Fußballmannschaft leiten. Obwohl sie sehr optimistisch ist, weiß sie, dass die Fußballspieler unmotiviert sind und deren Leistung schlecht ist. Sie sind auch noch sehr träge und langsam. Sie freut sich aber trotzdem auf die Arbeit.","Karin trainiert ein Altersheim, und wird erwartungsvoll die Fußballspieler kräftigen.  ",Altersheim
5,"Andreas arbeitet in der Steuerbehörde und besucht beruflich ein Flüchtlingslager. Er kommt pünktlich an, und spricht über Finanzen mit einer Nonne, welche die Rechte der Flüchtlinge Namibias verteidigt. Er will der frommen Frau helfen, weil sie den ganzen Tag arbeitet und die Freude dabei nicht verliert. Er wird sich intensiv damit auseinandersetzen.",Andreas berät einen Engel und wird wiederholt die Nonne ansprechen.,Engel
6,"Stefan ist Journalist und fährt nach Frankfurt, um das Thema Steuerbetrug zu recherchieren. Als er da ist, findet er in der Bank einen amoralischen Makler, der den Staat betrügt und sogar Geldwäscherei betreibt. Stefan kommt ihm näher und wird das Angeben des Kapitalisten auf Tonband aufnehmen. Diese Begegnung wird ihm lange im Gedächtnis bleiben.",Stefan interviewt eine Hyäne und wird unerbittlich den Makler porträtieren.,Hyäne
7,Susanne geht zum ersten Mal in den Reichstag. Es gibt einen Empfang mit dem einzigen noch lebenden Politiker aus der vorletzten Republik. Sie wird in den großen Raum hineingehen und dem sehr alten Mann die Hand reichen. Danach wird sie lange von diesem Moment schwärmen.,Susanne grüßt einen Dinosaurier und wird lange Zeit den Politiker anlächeln.,Dinosaurier
8,"Martin und seine Freundin haben sich vor kurzem verlobt. Sie waren überglücklich, bis sie einen heftigen Streit hatten. Martin durchdenkt die Auseinandersetzung genauer. Er wird danach traurige Klarheit haben.","Martin empfindet einen Riss, und wird schließlich die Verlobung erneuern.",Riss
9,"Nicole ist Kriminalbeamtin und muss eines Tages in den Slum fahren, weil es ein Gemetzel gibt. Leider kommt es zu einem heftigen Streit zwischen Schlägern aus unterschiedlichen Familien, und ein großer, aggressiver Raufbold wirkt dabei besonders gefährlich. Für Nicole wird es schwierig sein, die Situation unter Kontrolle zu bringen.","Nicole verhaftet einen Gorilla, und wird sicherlich den Raufbold hart anpacken. ",Gorilla
10,"Eva ist Anwältin und arbeitet bei einem großen Immobilienverwalter. Neulich kam es vor, dass ein aggressiver Hausbesitzer versuchte, eine arme Familie aus einer Wohnung zu vertreiben. Eva wird dem Hausbesitzer beistehen, obwohl die Familie in Not ist. Dabei wird sie ein schlechtes Gefühl haben.","Eva vertritt einen Hai, und wird augenscheinlich den Hausbesitzer beschützen.",Hai
11,"Tobias ist im Urlaub auf einer kleinen Insel im Pazifik. Auf dem Weg zum Flughafen bleibt er lange im Stau stehen, weil eine alte Greisin weit vor ihm unglaublich langsam über die Straße läuft. Wenn er sie sehen wird, wird er sie durch das Fenster anschreien. Er hat Angst, ihretwegen den Flug zu verpassen. ",Tobias beschimpft eine Schildkröte und wird erbittert die Greisin betrachten.,Schildkröte
12,"Astrid geht zu einer Konferenz mit ihren Freunden. Dort trifft sie einen Kollegen, der leidenschaftlich und laut argumentiert und schnell gereizt wird. Ihre Freunde wollen mit dem Kollegen essen gehen, Astrid möchte aber nicht und wird zu dem Kollegen sagen, dass sie nachher noch viel arbeiten muss. Sie wird froh sein, die Situation vermieden zu haben. ",Astrid belügt einen Vulkan und wird erfolgreich dem Kollegen entkommen.,Vulkan
13,"Maria und ihr Freund gehen zusammen zum Psychologen. Sie hat nämlich das Gefühl, sein wahres Ich nicht wirklich zu kennen, da er sich immer an den anderen anpasst und seine Meinung ständig ändert. Auch wenn er so mysteriös wirkt, kann sie nicht ohne ihren Partner leben. Allein bei seiner Nähe lächelt sie entspannt.",Maria küsst ein Chamäleon und wird versehentlich den Partner verängstigen.,Chamäleon
14,"Florian ist ein Faustkämpfer, der gerne den tapfersten Gegner hat. Sein anstehender Gegner ist ein sehr berühmter, edelmütiger Boxer. Florian lässt sich deswegen einen ungewöhnlichen Schlag einfallen, welcher einen Knock-out für den Boxer bedeuten wird. Er wird das Publikum damit begeistern.","Florian bekämpft einen Löwen, und wird auf jeden Fall den Boxer besiegen.",Löwen
15,"Beate will Lehrerin werden und macht deswegen ein Praktikum bei einem Erzieher. Sie wird ihm bei der Arbeit in der Schule helfen, und wird schnell merken, dass dort alles sehr chaotisch ist. Die Kinder sind laut, der Ablauf ist unstrukturiert und die Erwachsenen komplett überfordert. Es werden harte Tage für sie sein. ","Beate umsorgt einen Zirkus, und wird binnen kurzem die Schule verachten.",Zirkus
16,"Charlotte zieht in eine neue Gegend ein, in der ein Bär die Leute erschreckt und die Tomaten der Nachbarn frisst. Sie sucht nach dem Bären, der aber vorsichtig ist und sich äußerst selten blicken lässt. Sie entscheidet sich, mit einem Gewehr durch den Wald zu gehen, doch das Fehlen von Hinweisen frustriert sie. Sie wird schnell die Geduld verlieren.","Charlotte jagt ein Gespenst, und wird hoffnungslos den Bären fortlassen.",Gespenst
17,"Katharina ist Archäologin und besucht gerade ein Stammesfest mitten in der Wüste. Sie hat einen sehr empfindlichen Magen und alle Gerichte, die ihr beim Essen angeboten werden, sind fettig, hart und überwürzt. Sie will nicht unhöflich sein, also bereitet sie sich vor, eine ordentliche Portion Fleisch zu sich zu nehmen. Ihre Entscheidung wird sie danach mehrmals bereuen.",Katharina verzehrt einen Stein und wird schnellstmöglich das Fleisch erbrechen.,Stein
18,Daniel geht mit seinen Kindern ins Theater. Das Stück ist besetzt mit wunderschönen hüpfenden Tänzerinnen. Eine davon tanzt besonders elegant und leichtfüßig auf der Bühne. Er wird deswegen lange staunen.,Daniel begehrt einen Schmetterling und wird zweifelsohne die Tänzerin wiedersehen.,Schmetterling
19,"Robert ist Pop-Musiker und arbeitet in einer großen Plattenfirma. Obwohl die Produzenten viel Vertrauen in sein Können gesteckt haben, war Robert bis jetzt wenig erfolgreich. Aber nach langen Nächten im Studio gelingt es ihm, einen sehr eingängigen Song zu schreiben, der in kürzer Zeit überall zu hören sein wird. Er wird seinen verdienten Erfolg genießen.","Robert komponiert einen Virus, und wird erfolgreich den Song vermarkten.",Virus
20,"Stephanie ist Single und meldet sich bei einer Dating-Website an. Sie flirtet im Internet mit einem netten, angeblich gutaussehenden Mann und lädt ihn zum Essen ein. Sie ist sehr überrascht zu sehen, dass der Mann unglaublich fettleibig ist, und kaum durch die Wohnungstür passt. Nichtdestotrotz versucht sie, eine gute Zeit mit ihm zu verbringen.","Stephanie bekocht ein Walross, und wird permanent den Mann anlächeln.",Walross
21,"Christian geht am Nachmittag in die Schule um seine Tochter abzuholen, da es ihr nicht gut geht. Sie ist sehr zerbrechlich und emotional, und sie wird anfangen zu weinen, sobald Christian sie anfasst. Er wird aber trotzdem seine Arme ausstrecken und die Zeit mit der sensiblen Tochter genießen. Es wird danach ein toller Tag werden.",Christian umarmt eine Schneeflocke und wird ohne Zweifel die Tochter bewundern.,Schneeflocke
22,"Petra ist Trainerin einer Rugby Mannschaft und freut sich über neue Zugänge. Neulich entdeckte sie einen Teenager und wusste nicht, ob er ins Team passt. Er ist sehr dünn, zerbrechlich und den anderen körperlich unterlegen. Sie wird das Ganze nicht ernstnehmen.","Petra ignoriert einen Zahnstocher, und wird unverzüglich den Teenager vergessen.  ",Zahnstocher
23,"Lukas ist verbeamtet und arbeitet in einem kleinen Team. Eines Tages hat ein Feuerwehrmann, der nie auf die anderen hört, eine riskante Entscheidung getroffen, obwohl Lukas ihm davon abgeraten hat. Es hat sich aber gezeigt, dass der Feuerwehrmann Recht hatte, und Lukas wird ihm dafür gratulieren müssen. Die Beziehung zwischen den beiden ist nicht leicht.",Lukas beglückwünscht einen Esel und wird verständlicherweise den Feuerwehrmann bewundern.,Esel
24,"Jonas interessiert sich sehr für Basketball und entscheidet sich, ins Stadion zu gehen. Er sieht ein Spieler, der fast doppelt so groß und schwer ist wie die anderen. Er wird sehr begeistert von ihm sein und wird wetten, dass der Spieler das Spiel gewinnen wird. In wenigen Minuten wird es tatsächlich passieren.","Jonas favorisiert einen Schrank, und wird schwärmend den Spieler betrachten.",Schrank
25,"Emily ist Studentin und besucht eine Vorlesung. Der Professor der Vorlesung ist ein Vertreter von veralteten Theorien, und wird von den jungen Generationen nicht mehr ernst genommen. Emily aber meldet sich ständig im Kurs, und stellt die Weltsicht des Professors in Frage. Dies wird ihr übelgenommen werden.",Emily beleidigt ein Fossil und wird von nun an den Professor verpönen.,Fossil
26,"David geht im Winter in eine Bar in der Gegend, um Frauen kennenzulernen. Er ist sehr betrunken und merkt nicht, dass die Blondine, die an der Theke alleine trinkt, nicht reden will und ihn gefühllos ignoriert. Nach einer Weile wird er es merken und sich schämen.","David belabert eine Eisstatue, und wird allmählich die Blondine in Ruhe lassen.",Eisstatue
27,"Vanessa arbeitet für eine Wohnungsgesellschaft und muss demnächst eine freigewordene Wohnung besichtigen. Sie geht in die Wohnung hinein und merkt, dass alles chaotisch ist. Die ist zugemüllt und schwer begehbar. Sie wird eine schwierige Aufgabe haben. ",Vanessa begutachtet einen Dschungel und wird gnadenlos die Wohnung verunglimpfen.,Dschungel
28,"Karoline arbeitet in einem Unternehmen und freut sich immer darauf, ihren Angestellten helfen zu können. Eines Tages kommt ihr Assistent, der eine starke Depression hat, zu ihr ins Büro, und will eine Arbeitsauszeit bekommen. Karoline weiß, dass der Urlaub ihm kaum nützen wird, will ihm aber trotzdem helfen. Die Hilfe wird nur eine Weile anhalten.","Karoline bewilligt ein Pflaster, und wird gleichzeitig die Arbeitsauszeit absichern.",Pflaster
29,"Laura arbeitet als Sportlehrerin in einem Gymnasium. Einer ihrer Schüler ist besonders begabt in der Leichtathletik. Er ist unglaublich schnell und gewinnt mühelos alle Wettbewerbe. Laura will ihm helfen, seine Zeiten weiter zu verbessern. Die Mühe wird sich auszahlen. ",Laura coacht einen Leoparden und wird mit Vergnügen den Schüler unterrichten.,Leoparden
30,"Philipp ist neu im Dorf und will nette Leute kennenlernen. Er fängt an, Zeit mit einer Hausfrau zu verbringen, die den Ruf hat, hinterlistig und heimtückisch zu sein. Ihn interessiert das nicht und er entwickelt großes Vertrauen der Frau gegenüber. Er wird nicht einschätzen können, wie groß sein Fehler ist.","Philipp lobpreist eine Schlange, und wird unüberlegt der Hausfrau vertrauen.",Schlange
31,"Nadine ist Angestellte und mag ihren Vorgesetzten nicht. Er ist ein großer, wütender Mann, der äußerst aufdringlich ist und seinen Willen über alle anderen gnadenlos durchsetzt. Eines Tages wird es Nadine nicht mehr aushalten und ihren Vorgesetzten anschreien, weil er sie zu sehr nötigen wird. Es wird zu einer tödlichen Stille kommen.","Nadine verärgert einen Panzer, und wird unverzüglich dem Vorgesetzten entfliehen.",Panzer
32,"Sebastian liebt eine wunderschöne Katze. Er hat sie in einem Tierheim adoptiert und seitdem sind sie unzertrennlich. Die Katze ist verwöhnt und launisch, und kann sehr wählerisch sein. Deswegen würde Sebastian alles für sie tun, wenn sie etwas braucht. Er wird sich immer um sie kümmern wollen.","Sebastian füttert eine Prinzessin, und wird unablässig der Katze beistehen.",Prinzessin
33,"Fabian arbeitet in einer Kita und begrüßt die neu hinzugekommenen Kinder. Ein Junge ist sehr laut und redselig und kann einfach nicht aufhören, die anderen Kinder nachzuahmen. Der Junge scheint sehr große Freude am Reden zu haben. Fabian wird sich für diesen Fall besonders viel Zeit nehmen.","Fabian erzieht einen Papagei, und wird selbstverständlich dem Jungen zujubeln.",Papagei
34,"Alexander ist Unternehmensberater und leitet gerade einen Workshop über Kommunikation am Arbeitsplatz. Einer der Teilnehmer wirkt arrogant und egoistisch, und versucht, alle anderen Teilnehmer einzuschüchtern. Alexander wird zweifelsohne einschreiten.","Alexander belehrt einen Piranha, und wird furchtlos dem Teilnehmer entgegentreten.",Piranha
35,"Simone ist eine einflussreiche Senatorin und hat sich einen politischen Ziehsohn ausgesucht. Er ist sehr klug, aber neigt dazu, habgierig zu sein und die Schwächen anderer Menschen auszunutzen. Simone wird sich deswegen um seinen Ruf bemühen müssen. Sie wird dafür hart arbeiten.","Simone protegiert einen Geier, und wird sich wiederholt für den Ziehsohn einsetzen.",Geier
36,"Niklas flirtet häufig mit einer berühmten Sängerin. Er will ihre Liebe erobern nur um sein Selbstwertgefühl zu stärken. Er genießt es auch sehr, damit vor seinen Freunden zu prahlen. Es wird für ihn ein harter Kampf sein.","Niklas umwirbt eine Trophäe, und wird unbeirrt die Sängerin anvisieren.",Trophäe
